KID,Teff,logg,Mass,Prot,Prot_err,LPH,w,DC
893305,4133,4.58,0.5958,nan,nan,nan,nan,0
1027110,4155,4.50,0.6046,1.701,0.039,0.299,0.1439,0
1027277,4326,4.57,0.6735,60.136,0.691,0.315,0.0876,0
1160660,4232,4.59,0.6355,nan,nan,nan,nan,0
1160684,3952,4.48,0.5239,0.419,0.090,0.150,0.0266,0
1161315,4247,4.59,0.6416,41.838,2.492,0.406,0.2434,0
1163114,4049,4.53,0.5622,0.766,0.167,0.217,0.0815,0
1163712,4212,4.63,0.6275,nan,nan,nan,nan,0
1164584,4154,4.50,0.6042,0.378,0.092,0.101,0.0040,0
1292147,4051,4.52,0.5630,nan,nan,nan,nan,0
1293046,4091,4.52,0.5790,nan,nan,nan,nan,0
1429629,4164,4.54,0.6082,nan,nan,nan,nan,0
1434455,4194,4.59,0.6202,nan,nan,nan,nan,0
1571340,4184,4.63,0.6162,nan,nan,nan,nan,0
1575893,4301,4.50,0.6634,nan,nan,nan,nan,0
1577167,3836,4.79,0.4788,nan,nan,nan,nan,1
1718059,3918,4.71,0.5106,50.645,10.310,0.300,0.1165,1
1720670,3927,4.72,0.5141,15.038,0.420,0.393,0.2091,1
1720673,4264,4.60,0.6484,nan,nan,nan,nan,0
1724498,4270,4.61,0.6509,30.838,0.831,0.186,0.0603,0
1725848,4300,4.53,0.6630,nan,nan,nan,nan,0
1849513,4090,4.65,0.5786,nan,nan,nan,nan,0
1995168,3916,4.71,0.5098,28.894,1.193,0.114,0.0476,1
1995305,3274,5.03,0.2778,54.200,12.275,0.307,0.1424,1
1996728,3549,4.88,0.3718,53.792,12.023,0.344,0.1553,1
2010137,3859,4.48,0.4877,1.584,0.346,0.189,0.0577,0
2014684,4028,4.54,0.5539,1.768,0.378,0.215,0.0790,0
2016946,4064,4.81,0.5682,56.468,13.256,0.346,0.1262,0
2018047,4008,4.50,0.5460,nan,nan,nan,nan,0
2020307,4387,4.49,0.6981,57.000,9.831,0.349,0.1213,0
2142111,4302,4.62,0.6638,nan,nan,nan,nan,0
2156545,4186,4.61,0.6170,nan,nan,nan,nan,0
2166547,3743,4.83,0.4433,26.642,0.431,0.321,0.1743,1
2282663,4125,4.56,0.5926,69.189,1.679,0.222,0.0112,0
2283892,4280,4.84,0.6549,42.614,5.542,0.254,0.1437,0
2284116,4301,4.65,0.6634,nan,nan,nan,nan,0
2284919,3564,4.82,0.3771,21.833,1.920,0.064,0.0311,1
2285481,4304,4.53,0.6646,28.924,10.299,0.238,0.1006,0
2297384,4184,4.54,0.6162,0.337,0.078,0.150,0.0259,0
2297825,4169,4.52,0.6102,0.337,0.081,0.147,0.0238,0
2299707,4080,4.60,0.5746,nan,nan,nan,nan,0
2305283,3495,4.86,0.3525,nan,nan,nan,nan,1
2306630,4329,4.77,0.6747,29.272,3.513,0.354,0.2016,0
2309070,4361,4.45,0.6876,60.821,13.802,0.325,0.0926,0
2421893,4191,4.61,0.6190,nan,nan,nan,nan,0
2424191,3929,4.44,0.5149,3.423,0.756,0.199,0.0645,0
2436209,4179,4.53,0.6142,0.215,0.043,0.154,0.0300,0
2436332,4054,4.50,0.5642,0.378,0.090,0.133,0.0115,0
2436540,4206,4.52,0.6251,nan,nan,nan,nan,0
2436814,4076,4.50,0.5730,0.439,0.102,0.122,0.0044,0
2436824,4066,4.50,0.5690,0.317,0.078,0.140,0.0184,0
2436849,4204,4.50,0.6243,19.810,0.601,0.081,0.0184,0
2437040,4051,4.52,0.5630,0.419,0.106,0.159,0.0345,0
2437402,4144,4.52,0.6002,0.235,0.056,0.154,0.0297,0
2437443,4384,4.55,0.6969,nan,nan,nan,nan,0
2437507,4024,4.47,0.5523,0.541,0.118,0.160,0.0348,0
2437539,4150,4.49,0.6026,0.235,0.055,0.118,0.0041,0
2437589,4163,4.52,0.6078,0.255,0.049,0.121,0.0040,0
2437653,4226,4.54,0.6331,nan,nan,nan,nan,0
2437698,4182,4.53,0.6154,0.337,0.074,0.156,0.0309,0
2437805,4147,4.51,0.6014,0.337,0.074,0.145,0.0225,0
2437816,3996,4.47,0.5412,0.603,0.136,0.215,0.0802,0
2437972,4266,4.55,0.6492,0.296,0.042,0.097,0.0029,0
2438038,4165,4.54,0.6086,0.378,0.055,0.086,0.0038,0
2438094,4158,4.47,0.6058,1.093,0.231,0.214,0.0787,0
2439496,4321,4.68,0.6714,38.099,8.550,0.325,0.2389,0
2442692,4040,4.41,0.5587,51.933,4.603,0.386,0.1725,0
2443944,4336,4.47,0.6775,33.077,0.628,0.316,0.1876,0
2448727,4325,4.51,0.6731,0.276,0.069,0.083,0.0023,0
2450581,4358,4.78,0.6864,nan,nan,nan,nan,0
2451529,3337,4.98,0.2984,nan,nan,nan,nan,1
2452748,4289,4.61,0.6585,nan,nan,nan,nan,0
2557479,4081,4.48,0.5750,62.174,2.929,0.343,0.1064,0
2569000,4361,4.57,0.6876,nan,nan,nan,nan,0
2569360,4021,4.51,0.5511,0.501,0.110,0.175,0.0476,0
2570094,4222,4.53,0.6315,nan,nan,nan,nan,0
2570518,4218,4.53,0.6299,0.501,0.066,0.228,0.0892,0
2573016,4326,4.70,0.6735,nan,nan,nan,nan,0
2574699,4328,4.52,0.6743,36.213,0.505,0.208,0.1042,0
2577056,4350,4.42,0.6832,37.097,5.592,0.245,0.1475,0
2579041,4357,4.56,0.6860,nan,nan,nan,nan,0
2580109,4196,4.73,0.6210,nan,nan,nan,nan,0
2581647,4218,4.64,0.6299,nan,nan,nan,nan,0
2582135,4347,4.71,0.6819,nan,nan,nan,nan,0
2583649,4306,4.70,0.6654,42.310,0.796,0.399,0.2344,0
2692429,4301,4.63,0.6634,20.526,1.294,0.030,0.0151,0
2708445,4148,4.44,0.6018,nan,nan,nan,nan,0
2709731,4138,4.57,0.5978,15.154,0.126,0.313,0.1503,0
2721113,3530,4.98,0.3650,nan,nan,nan,nan,1
2721506,4149,4.43,0.6022,62.423,3.877,0.378,0.1319,0
2831943,4108,4.40,0.5858,39.978,9.678,0.089,0.1122,0
2833945,4311,4.64,0.6674,44.188,5.122,0.298,0.1574,0
2834053,4322,4.70,0.6718,46.211,7.780,0.331,0.1627,0
2835160,4381,4.51,0.6957,nan,nan,nan,nan,0
2837046,3383,4.99,0.3139,60.882,14.541,0.352,0.1403,1
2845560,4250,4.58,0.6428,42.142,1.948,0.398,0.2362,0
2846051,4012,4.46,0.5476,1.614,0.180,0.297,0.1423,0
2846944,4049,4.54,0.5622,1.318,0.275,0.275,0.1263,0
2847114,3914,4.51,0.5090,1.318,0.289,0.190,0.0586,0
2849722,4357,4.45,0.6860,nan,nan,nan,nan,0
2850262,4385,4.79,0.6973,46.371,0.316,0.144,0.0829,0
2850322,4224,4.64,0.6323,64.213,5.010,0.190,0.0161,0
2850521,4358,4.47,0.6864,nan,nan,nan,nan,0
2850913,4307,4.42,0.6658,0.215,0.050,0.158,0.0314,0
2854099,4299,4.67,0.6626,0.984,0.036,0.082,0.0027,0
2854411,4354,4.57,0.6848,28.320,0.417,0.160,0.0366,0
2858337,4224,4.63,0.6323,nan,nan,nan,nan,0
2971679,4107,4.47,0.5854,35.749,5.246,0.276,0.1776,0
2972492,4317,4.55,0.6698,47.527,1.202,0.302,0.1346,0
2983183,4256,4.52,0.6452,nan,nan,nan,nan,0
2985277,4317,4.49,0.6698,nan,nan,nan,nan,0
2985404,4323,4.66,0.6722,46.640,5.214,0.230,0.0907,0
2986860,4181,4.51,0.6150,1.093,0.264,0.317,0.1571,0
2991497,3926,4.72,0.5137,43.636,10.427,0.378,0.2131,1
2994813,4083,4.53,0.5758,nan,nan,nan,nan,0
3098586,4371,4.91,0.6916,25.184,3.893,0.137,0.0252,0
3102561,4200,4.60,0.6227,41.699,1.195,0.341,0.2069,0
3103693,4316,4.48,0.6694,nan,nan,nan,nan,0
3110766,4304,4.61,0.6646,nan,nan,nan,nan,0
3111407,4341,4.77,0.6795,43.983,5.243,0.119,0.1106,0
3119525,3679,4.77,0.4193,nan,nan,nan,nan,1
3121957,4349,4.66,0.6828,nan,nan,nan,nan,0
3130278,4404,4.52,0.7050,0.327,0.082,0.114,0.0021,0
3216554,4223,4.53,0.6319,41.259,0.443,0.354,0.2191,0
3218080,4299,4.45,0.6626,44.086,8.518,0.269,0.1394,0
3228276,3249,5.12,0.2698,nan,nan,nan,nan,1
3230048,4204,4.54,0.6243,nan,nan,nan,nan,0
3232334,3932,4.54,0.5161,40.019,9.665,0.368,0.2376,0
3232393,3941,4.72,0.5196,14.320,0.194,0.282,0.1258,1
3234941,4269,4.61,0.6505,50.175,6.825,0.211,0.0528,0
3235003,4112,4.50,0.5874,nan,nan,nan,nan,0
3235567,3601,4.88,0.3906,29.542,1.354,0.296,0.1617,1
3236003,4213,4.60,0.6279,46.097,1.765,0.244,0.1055,0
3241340,4302,4.55,0.6638,nan,nan,nan,nan,0
3248658,4081,4.47,0.5750,38.115,1.416,0.346,0.2461,0
3324375,4101,4.66,0.5830,41.184,7.808,0.280,0.1736,0
3328429,4398,4.64,0.7025,nan,nan,nan,nan,0
3328643,3932,4.71,0.5161,nan,nan,nan,nan,1
3329865,3960,4.45,0.5271,40.453,1.429,0.392,0.2481,0
3331515,4135,4.62,0.5966,47.872,1.700,0.235,0.0873,0
3335266,4326,4.40,0.6735,68.443,10.834,0.137,0.0106,0
3335305,4370,4.52,0.6912,40.857,6.768,0.208,0.1378,0
3343420,4381,4.62,0.6957,nan,nan,nan,nan,0
3346467,3951,4.71,0.5235,nan,nan,nan,nan,1
3348817,4284,4.76,0.6565,nan,nan,nan,nan,0
3352523,4025,4.53,0.5527,37.251,5.041,0.232,0.1469,0
3353108,3906,4.77,0.5059,nan,nan,nan,nan,1
3353880,4287,4.64,0.6577,43.447,0.390,0.353,0.1986,0
3357002,4375,4.42,0.6933,nan,nan,nan,nan,0
3425363,4308,4.61,0.6662,nan,nan,nan,nan,0
3426250,3990,4.70,0.5389,22.840,0.438,0.354,0.1896,1
3426422,4313,4.67,0.6682,nan,nan,nan,nan,0
3426852,4089,4.57,0.5782,39.684,1.001,0.327,0.2178,0
3429112,4265,4.47,0.6488,nan,nan,nan,nan,0
3430778,4299,4.62,0.6626,42.699,6.113,0.370,0.2149,0
3430981,4154,4.57,0.6042,28.414,0.369,0.200,0.0711,0
3431143,3725,4.58,0.4365,3.484,0.757,0.207,0.0727,0
3431246,4058,4.63,0.5658,43.814,2.580,0.317,0.1740,0
3431453,4292,4.64,0.6597,nan,nan,nan,nan,0
3432286,3755,4.84,0.4478,nan,nan,nan,nan,1
3439791,3753,4.78,0.4471,0.437,0.003,0.144,0.0225,1
3440423,4211,4.45,0.6271,nan,nan,nan,nan,0
3453664,4278,4.71,0.6541,57.562,11.957,0.398,0.1569,0
3454720,4199,4.45,0.6223,nan,nan,nan,nan,0
3455493,4335,4.67,0.6771,19.973,0.260,0.438,0.2408,0
3456577,4188,4.47,0.6178,nan,nan,nan,nan,0
3457861,3915,4.72,0.5094,nan,nan,nan,nan,1
3530287,4329,4.66,0.6747,28.760,6.379,0.380,0.2208,0
3532233,4218,4.62,0.6299,41.082,6.481,0.343,0.2141,0
3540204,4387,4.66,0.6981,nan,nan,nan,nan,0
3544774,4215,4.63,0.6287,nan,nan,nan,nan,0
3545104,3705,4.57,0.4290,nan,nan,nan,nan,0
3545291,3747,4.77,0.4448,29.272,0.610,0.246,0.1184,1
3547906,3906,4.72,0.5059,67.378,1.374,0.432,0.1592,1
3559731,4352,4.64,0.6840,44.641,4.474,0.340,0.1798,0
3561148,3507,4.05,0.3568,60.177,2.488,0.370,0.1496,0
3628718,4118,4.50,0.5898,nan,nan,nan,nan,0
3633335,3691,4.59,0.4238,2.830,0.638,0.167,0.0410,0
3633735,4293,4.38,0.6601,36.638,2.429,0.309,0.2098,0
3642676,4318,4.61,0.6702,32.689,2.855,0.273,0.1470,0
3647136,4277,4.49,0.6537,nan,nan,nan,nan,0
3648391,4082,4.69,0.5754,nan,nan,nan,nan,0
