,angDist,kepid,source_id,ra_gaia,ra_error,dec_gaia,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,tm_designation,ra_kic,dec_kic,kepmag,teff,teff_err1,teff_err2,teff_prov,logg_gk,logg_err1,logg_err2,logg_prov,feh,feh_err1,feh_err2,feh_prov,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,prov_sec,nconfp,nkoi,ntce,jmag,hmag,kmag,kepoi_name,planet?,relative_parallax_err,Teff,logg_mc,Mass,Prot,Prot_err,Rper,LPH,w,DC,Flag,jz
19,0.017307,1025986.0,2.0502489556729277e+18,291.03375415996,0.0207,36.77113672888,0.0273,8.8998,0.0258,11.036,0.049,21.342,0.062,1788730.0,1386.11,10.057004,939096.0,1994.88,10.419613,1190790.0,2590.97,9.572329,0.847284,-28.19,1.48,5698.33,0.0857,0.0257,0.97,0.897,b'2MASS J19240808+3646157',291.03369,36.771042,10.15,5604.0,84.0,-67.0,b'SPE68',4.226,0.208,-0.112,b'SPE68',-0.12,0.15,-0.15,b'SPE68',1.187,0.207,-0.23,0.864,0.073,-0.036,b'DSEP',0.0,1.0,1.0,8.981,8.718,8.626,b'N/A',b'cand',0.0028989415492482974,5966,4.13,1.0966,9.724,0.016,16745.51,0.885,0.5803,0,---,0.09806584863568524
44,0.03501,1163579.0,2.0516949895656376e+18,291.54646062615,0.0112,36.8554919301,0.0136,1.6453,0.0141,0.249,0.024,3.869,0.025,102460.0,56.912,13.161984,53877.1,119.657,13.522878,70366.2,91.2641,12.64351,0.879368,-14.04,7.69,5601.11,0.4908,0.248,1.31,1.514,b'2MASS J19261114+3651197',291.54645,36.855469,13.208,5721.0,76.0,-85.0,b'SPE68',4.445,0.072,-0.108,b'SPE68',-0.06,0.15,-0.15,b'SPE68',0.959,0.125,-0.083,0.933,0.058,-0.058,b'DSEP',0.0,0.0,0.0,12.064,11.755,11.668,b'N/A',b'none',0.008569865677991855,6218,4.14,1.1766,5.428999999999999,0.05,13013.54,1.426,0.725,0,---,1.1061289749182892
89,0.0857,1432469.0,2.051749793349996e+18,291.43230303985,0.0186,37.09354100373,0.0225,3.0134,0.023,9.743,0.04,10.842,0.045,163739.0,23.2729,12.652985,83485.9,88.3245,13.047356,114299.0,68.7857,12.11681,0.930546,-27.26,1.55,5420.0,0.1013,0.05,0.97,0.735,b'2MASS J19254374+3705365',291.43228,37.093491,12.714,5525.0,82.0,-71.0,b'SPE68',4.273,0.195,-0.12,b'SPE68',0.0,0.15,-0.15,b'SPE68',1.131,0.208,-0.208,0.874,0.073,-0.037,b'DSEP',0.0,0.0,0.0,11.51,11.182,11.105,b'N/A',b'none',0.007632574500564147,5831,4.02,1.0566,24.726,0.835,3214.72,0.5479999999999999,0.326,0,---,0.3399077613753143
93,0.051383,1432745.0,2.051748728198135e+18,291.4881887956,0.0115,37.07314427032,0.0147,5.3562,0.0147,7.969,0.024,10.59,0.029,101622.0,60.1432,13.170899,40763.0,102.914,13.825723,87057.2,139.477,12.412409,1.413314,-28.48,1.99,4678.14,0.2687,0.129,0.62,0.168,b'2MASS J19255715+3704231',291.48816,37.07309,13.208,4450.0,79.0,-88.0,b'SPE68',4.662,0.009,-0.048,b'SPE68',0.07,0.15,-0.15,b'SPE68',0.644,0.044,-0.017,0.717,0.026,-0.044,b'DSEP',0.0,0.0,0.0,11.491,10.91,10.786,b'N/A',b'none',0.002744483029013106,4354,4.59,0.6848,22.189,0.21899999999999997,17414.45,1.308,0.6561,0,---,0.11835613439864305
101,0.045112,1434277.0,2.0517049538900214e+18,291.82713275237,0.0228,37.08084733892,0.0299,5.3047,0.0336,18.801,0.046,27.366,0.047,660399.0,705.262,11.13885,347697.0,773.104,11.498385,440410.0,551.283,10.652277,0.846108,-28.86,0.91,5665.65,0.032,0.018,1.0,0.934,b'2MASS J19271848+3704506',291.82703,37.080742,11.201,5750.0,78.0,-86.0,b'SPE68',4.499,0.024,-0.128,b'SPE68',0.14,0.15,-0.15,b'SPE68',0.947,0.147,-0.053,1.033,0.05,-0.074,b'DSEP',0.0,0.0,0.0,10.093,9.794,9.737,b'N/A',b'none',0.00633400569306464,5927,4.09,1.0849,10.446,0.033,13959.8,1.3019999999999998,0.6866,0,---,0.1370808445710335
121,0.076479,1570924.0,2.0510159724156447e+18,290.86368991764,0.0257,37.12605116713,0.0282,4.4805,0.0331,19.684,0.05,7.152,0.053,133378.0,196.933,12.875658,59854.4,392.393,13.408648,106080.0,536.136,12.197839,1.210809,-5.12,8.11,4890.0,0.1965,0.1063,0.76,0.297,b'2MASS J19232726+3707337',290.86359,37.126041,12.944,4961.0,136.0,-136.0,b'PHO1',4.543,0.072,-0.044,b'KIC0',-0.08,0.3,-0.3,b'KIC0',0.762,0.065,-0.078,0.741,0.087,-0.063,b'DSEP',0.0,0.0,3.0,11.216,10.751,10.625,b'N/A',b'none',0.007387568351746456,4923,4.55,0.8142,3.234,0.008,82347.63,0.594,0.3315,0,---,0.7001118853396586
136,0.085015,1575580.0,2.0517296241825623e+18,291.86134779082,0.0209,37.17149489688,0.0288,3.749,0.0311,-10.667,0.046,-12.667,0.048,365001.0,67.8445,11.782631,195405.0,250.258,12.124046,242755.0,120.052,11.299001,0.825046,-12.25,0.55,5737.25,0.143,0.072,1.03,1.028,b'2MASS J19272674+3710176',291.86142,37.17157,11.817,5833.0,78.0,-78.0,b'SPE68',4.438,0.051,-0.119,b'SPE68',0.06,0.15,-0.15,b'SPE68',1.007,0.15,-0.069,1.015,0.063,-0.063,b'DSEP',0.0,0.0,0.0,10.761,10.406,10.375,b'N/A',b'none',0.008295545478794344,6095,4.05,1.1366,15.968,0.6709999999999999,2328.63,0.636,0.3931,0,---,0.8301956633543407
153,0.040546,1718401.0,2.0510299568292032e+18,290.78139622306,0.0174,37.27700073429,0.022,1.9362,0.0232,5.734,0.037,7.465,0.044,169891.0,30.9545,12.612939,96507.1,116.038,12.889991,107235.0,81.68,12.186077,0.703914,-32.95,1.87,6398.0,0.157,0.077,1.08,1.754,b'2MASS J19230752+3716370',290.78137,37.276958,12.657,6188.0,80.0,-80.0,b'SPE68',4.266,0.138,-0.112,b'SPE68',-0.14,0.15,-0.15,b'SPE68',1.251,0.222,-0.181,1.05,0.099,-0.053,b'DSEP',0.0,0.0,0.0,11.725,11.485,11.47,b'N/A',b'none',0.011982233240367731,6134,4.59,1.1491,6.98,0.247,1488.21,0.515,0.3797,0,---,0.6002729139486206
163,0.081124,1719974.0,2.052517802218988e+18,291.17709504022,0.0266,37.28573334876,0.0316,1.9205,0.0355,3.625,0.058,-1.47,0.056,294395.0,51.8689,12.016039,163329.0,167.643,12.318731,189803.0,121.212,11.566159,0.752572,-22.58,1.52,5994.33,0.5842,0.31,1.64,3.119,b'2MASS J19244250+3717087',291.17709,37.285759,12.05,6100.0,82.0,-91.0,b'SPE68',4.372,0.057,-0.123,b'SPE68',0.08,0.15,-0.15,b'SPE68',1.142,0.202,-0.087,1.121,0.082,-0.073,b'DSEP',0.0,0.0,0.0,11.069,10.789,10.755,b'N/A',b'none',0.018484769591252274,6033,4.4,1.1172,14.064,0.11800000000000001,2026.5,0.635,0.4225,0,---,0.7826615822125405
190,0.087466,1849159.0,2.099069509631749e+18,286.12361170024,0.0198,37.3417839482,0.024,4.1409,0.0267,15.009,0.04,-3.415,0.042,953405.0,253.959,10.740172,533578.0,504.058,11.033394,602807.0,327.832,10.311475,0.721919,-7.06,5.5,5970.6,0.1875,0.097,1.38,2.174,b'2MASS J19042964+3720304',286.1235,37.341801,10.802,6180.0,167.0,-167.0,b'PHO1',4.137,0.247,-0.133,b'FLK73',-0.48,0.3,-0.25,b'KIC0',1.373,0.281,-0.344,0.941,0.146,-0.097,b'DSEP',0.0,0.0,0.0,9.811,9.585,9.518,b'N/A',b'none',0.006447873650655654,5944,4.22,1.09,46.053000000000004,1.45,452.82,0.659,0.3208,0,---,1.146189891007792
